Source,Target,Weight,Type
178,3993,1.0,Directed
179,3190,1.0,Directed
180,3190,1.0,Directed
181,109,1.0,Directed
183,3749,1.0,Directed
184,6998,1.0,Directed
185,8630,1.0,Directed
186,6252,1.0,Directed
187,4429,1.0,Directed
188,7949,1.0,Directed
189,6998,1.0,Directed
190,3993,1.0,Directed
191,3324,1.0,Directed
191,4429,1.0,Directed
192,4429,1.0,Directed
194,7963,1.0,Directed
195,4429,1.0,Directed
197,2702,1.0,Directed
197,3022,1.0,Directed
197,3509,1.0,Directed
197,4429,1.0,Directed
197,7949,1.0,Directed
198,4429,1.0,Directed
199,1076,1.0,Directed
201,109,1.0,Directed
202,2468,1.0,Directed
203,372,1.0,Directed
203,392,1.0,Directed
203,1142,1.0,Directed
203,1836,1.0,Directed
203,2179,1.0,Directed
203,2591,1.0,Directed
203,2702,1.0,Directed
203,2875,1.0,Directed
203,2958,1.0,Directed
203,3022,1.0,Directed
203,3190,1.0,Directed
203,3324,1.0,Directed
203,3399,1.0,Directed
203,3509,1.0,Directed
203,3993,1.0,Directed
203,4270,1.0,Directed
203,4429,1.0,Directed
203,6091,1.0,Directed
203,6732,1.0,Directed
203,6998,1.0,Directed
203,7305,1.0,Directed
203,7949,1.0,Directed
204,3324,1.0,Directed
205,1076,1.0,Directed
205,2702,1.0,Directed
205,3509,1.0,Directed
205,5349,1.0,Directed
206,4429,1.0,Directed
207,3190,1.0,Directed
208,1410,1.0,Directed
208,3509,1.0,Directed
208,3832,1.0,Directed
208,3993,1.0,Directed
208,7180,1.0,Directed
208,7949,1.0,Directed
210,4429,1.0,Directed
211,8433,1.0,Directed
212,4270,1.0,Directed
212,4429,1.0,Directed
213,3053,1.0,Directed
214,7180,1.0,Directed
216,3509,1.0,Directed
217,4429,1.0,Directed
218,5130,1.0,Directed
219,109,1.0,Directed
219,3022,1.0,Directed
219,3190,1.0,Directed
219,6998,1.0,Directed
219,7180,1.0,Directed
221,3053,1.0,Directed
222,5349,1.0,Directed
223,3022,1.0,Directed
224,4429,1.0,Directed
227,4901,1.0,Directed
227,8904,1.0,Directed
228,4429,1.0,Directed
228,9199,1.0,Directed
229,4429,1.0,Directed
230,4429,1.0,Directed
230,6252,1.0,Directed
231,4429,1.0,Directed
232,3022,1.0,Directed
232,6998,1.0,Directed
234,3326,1.0,Directed
235,3022,1.0,Directed
236,3832,1.0,Directed
237,6252,1.0,Directed
238,4323,1.0,Directed
239,7949,1.0,Directed
242,3022,1.0,Directed
243,7949,1.0,Directed
245,4623,1.0,Directed
247,3509,1.0,Directed
248,7949,1.0,Directed
249,3993,1.0,Directed
249,4089,1.0,Directed
249,4429,1.0,Directed
250,5416,1.0,Directed
251,1076,1.0,Directed
252,109,1.0,Directed
253,4429,1.0,Directed
254,4623,1.0,Directed
257,4429,1.0,Directed
258,6998,1.0,Directed
262,4429,1.0,Directed
264,203,1.0,Directed
266,3509,1.0,Directed
266,4429,1.0,Directed
267,7180,1.0,Directed
268,6998,1.0,Directed
268,7180,1.0,Directed
271,1076,1.0,Directed
271,4429,1.0,Directed
273,3749,1.0,Directed
273,6998,1.0,Directed
274,4429,1.0,Directed
275,7949,1.0,Directed
276,8433,1.0,Directed
276,8654,1.0,Directed
277,4429,1.0,Directed
278,4429,1.0,Directed
280,4713,1.0,Directed
281,203,1.0,Directed
282,1724,1.0,Directed
282,4429,1.0,Directed
283,4270,1.0,Directed
284,203,1.0,Directed
284,7305,1.0,Directed
285,9381,1.0,Directed
286,4429,1.0,Directed
287,1076,1.0,Directed
288,4270,1.0,Directed
290,3324,1.0,Directed
290,3509,1.0,Directed
291,3832,1.0,Directed
292,27,1.0,Directed
292,3190,1.0,Directed
292,3326,1.0,Directed
292,4429,1.0,Directed
292,4623,1.0,Directed
293,4270,1.0,Directed
294,3022,1.0,Directed
295,3993,1.0,Directed
296,341,1.0,Directed
296,4429,1.0,Directed
297,3190,1.0,Directed
298,6998,1.0,Directed
300,3190,1.0,Directed
301,6252,1.0,Directed
302,7949,1.0,Directed
303,7949,1.0,Directed
304,1076,1.0,Directed
304,8433,1.0,Directed
305,7949,1.0,Directed
306,109,1.0,Directed
307,6998,1.0,Directed
308,6389,1.0,Directed
309,4270,1.0,Directed
309,7949,1.0,Directed
310,3190,1.0,Directed
311,27,1.0,Directed
311,7949,1.0,Directed
312,4429,1.0,Directed
314,3509,1.0,Directed
315,4429,1.0,Directed
315,9643,1.0,Directed
316,3832,1.0,Directed
318,203,1.0,Directed
319,4429,1.0,Directed
321,7305,1.0,Directed
323,6252,1.0,Directed
324,4429,1.0,Directed
325,3190,1.0,Directed
326,1935,1.0,Directed
327,27,1.0,Directed
327,3509,1.0,Directed
328,4270,1.0,Directed
329,3509,1.0,Directed
330,3190,1.0,Directed
330,4429,1.0,Directed
330,7949,1.0,Directed
330,8663,1.0,Directed
331,3509,1.0,Directed
332,5804,1.0,Directed
334,3190,1.0,Directed
334,5405,1.0,Directed
334,6998,1.0,Directed
335,4270,1.0,Directed
336,3190,1.0,Directed
337,2306,1.0,Directed
338,9381,1.0,Directed
339,6252,1.0,Directed
340,109,1.0,Directed
341,109,1.0,Directed
341,3509,1.0,Directed
341,3681,1.0,Directed
341,7949,1.0,Directed
342,4429,1.0,Directed
343,2591,1.0,Directed
344,3022,1.0,Directed
345,7949,1.0,Directed
346,6252,1.0,Directed
348,3749,1.0,Directed
349,7949,1.0,Directed
351,3326,1.0,Directed
352,1076,1.0,Directed
352,5804,1.0,Directed
352,7949,1.0,Directed
353,3373,1.0,Directed
354,4429,1.0,Directed
355,4429,1.0,Directed
356,7949,1.0,Directed
356,8654,1.0,Directed
357,1076,1.0,Directed
357,7180,1.0,Directed
358,7180,1.0,Directed
359,3190,1.0,Directed
361,3509,1.0,Directed
362,6252,1.0,Directed
363,6168,1.0,Directed
366,7180,1.0,Directed
367,3190,1.0,Directed
368,4429,1.0,Directed
370,8904,1.0,Directed
373,109,1.0,Directed
375,3190,1.0,Directed
378,4501,1.0,Directed
380,766,1.0,Directed
381,3993,1.0,Directed
382,4429,1.0,Directed
384,7305,1.0,Directed
385,4270,1.0,Directed
386,4429,1.0,Directed
387,3190,1.0,Directed
388,3190,1.0,Directed
389,109,1.0,Directed
389,6998,1.0,Directed
391,3046,1.0,Directed
392,3190,1.0,Directed
393,1076,1.0,Directed
393,3399,1.0,Directed
395,2468,1.0,Directed
396,3993,1.0,Directed
397,3190,1.0,Directed
397,6998,1.0,Directed
399,6252,1.0,Directed
400,3326,1.0,Directed
402,7949,1.0,Directed
403,3749,1.0,Directed
403,4429,1.0,Directed
404,3509,1.0,Directed
405,6252,1.0,Directed
406,3993,1.0,Directed
406,4770,1.0,Directed
407,4429,1.0,Directed
409,6252,1.0,Directed
410,6252,1.0,Directed
411,109,1.0,Directed
412,3190,1.0,Directed
413,5804,1.0,Directed
415,3190,1.0,Directed
416,1410,1.0,Directed
416,4270,1.0,Directed
416,4429,1.0,Directed
417,8698,1.0,Directed
419,4429,1.0,Directed
420,3022,1.0,Directed
420,6252,1.0,Directed
420,7949,1.0,Directed
421,1076,1.0,Directed
422,2702,1.0,Directed
422,3509,1.0,Directed
423,3509,1.0,Directed
425,4429,1.0,Directed
426,3326,1.0,Directed
427,6252,1.0,Directed
428,4429,1.0,Directed
429,8698,1.0,Directed
431,4623,1.0,Directed
432,6998,1.0,Directed
433,7949,1.0,Directed
434,3190,1.0,Directed
435,3832,1.0,Directed
436,109,1.0,Directed
436,6252,1.0,Directed
437,4901,1.0,Directed
438,1410,1.0,Directed
439,4429,1.0,Directed
440,203,1.0,Directed
440,7180,1.0,Directed
440,7576,1.0,Directed
441,4429,1.0,Directed
442,5405,1.0,Directed
450,6252,1.0,Directed
451,4429,1.0,Directed
452,7139,1.0,Directed
453,109,1.0,Directed
454,100,1.0,Directed
454,3190,1.0,Directed
455,3071,1.0,Directed
456,7180,1.0,Directed
457,4901,1.0,Directed
458,6252,1.0,Directed
459,7949,1.0,Directed
460,7305,1.0,Directed
462,7180,1.0,Directed
463,3509,1.0,Directed
463,4429,1.0,Directed
466,109,1.0,Directed
466,1076,1.0,Directed
466,6223,1.0,Directed
467,3053,1.0,Directed
468,7949,1.0,Directed
469,1076,1.0,Directed
470,539,1.0,Directed
471,7963,1.0,Directed
472,7180,1.0,Directed
473,3190,1.0,Directed
475,6252,1.0,Directed
476,4270,1.0,Directed
477,1724,1.0,Directed
478,6130,1.0,Directed
478,6627,1.0,Directed
479,27,1.0,Directed
479,1816,1.0,Directed
479,3846,1.0,Directed
479,4270,1.0,Directed
479,4429,1.0,Directed
479,4982,1.0,Directed
480,4429,1.0,Directed
480,6252,1.0,Directed
481,109,1.0,Directed
482,4089,1.0,Directed
483,3190,1.0,Directed
484,1410,1.0,Directed
485,3509,1.0,Directed
486,4089,1.0,Directed
488,3190,1.0,Directed
489,1724,1.0,Directed
489,3509,1.0,Directed
489,4429,1.0,Directed
489,4623,1.0,Directed
490,7180,1.0,Directed
491,7180,1.0,Directed
492,3509,1.0,Directed
493,4429,1.0,Directed
494,6998,1.0,Directed
496,4429,1.0,Directed
496,6252,1.0,Directed
496,9381,1.0,Directed
497,203,1.0,Directed
501,1076,1.0,Directed
502,4429,1.0,Directed
503,5405,1.0,Directed
504,4270,1.0,Directed
505,8663,1.0,Directed
507,3190,1.0,Directed
508,3190,1.0,Directed
509,6998,1.0,Directed
510,7305,1.0,Directed
511,8206,1.0,Directed
512,109,1.0,Directed
512,2702,1.0,Directed
513,7180,1.0,Directed
515,4429,1.0,Directed
516,7949,1.0,Directed
517,4270,1.0,Directed
517,8433,1.0,Directed
518,6252,1.0,Directed
519,1410,1.0,Directed
520,4270,1.0,Directed
521,2468,1.0,Directed
522,4429,1.0,Directed
523,4429,1.0,Directed
525,3190,1.0,Directed
526,4429,1.0,Directed
527,4429,1.0,Directed
527,6252,1.0,Directed
529,2504,1.0,Directed
530,3509,1.0,Directed
530,3993,1.0,Directed
531,3373,1.0,Directed
532,4429,1.0,Directed
533,3190,1.0,Directed
534,1076,1.0,Directed
536,1978,1.0,Directed
536,7949,1.0,Directed
537,3326,1.0,Directed
538,4429,1.0,Directed
539,3022,1.0,Directed
539,3509,1.0,Directed
539,4270,1.0,Directed
539,5804,1.0,Directed
541,3022,1.0,Directed
541,4713,1.0,Directed
542,5349,1.0,Directed
543,4429,1.0,Directed
543,6998,1.0,Directed
544,1410,1.0,Directed
544,3509,1.0,Directed
544,4429,1.0,Directed
545,109,1.0,Directed
546,1076,1.0,Directed
546,1270,1.0,Directed
546,2306,1.0,Directed
548,3053,1.0,Directed
549,3509,1.0,Directed
550,3190,1.0,Directed
550,3993,1.0,Directed
551,3509,1.0,Directed
552,2306,1.0,Directed
554,4429,1.0,Directed
555,3022,1.0,Directed
557,4429,1.0,Directed
558,1076,1.0,Directed
559,3373,1.0,Directed
560,3190,1.0,Directed
561,4270,1.0,Directed
562,2879,1.0,Directed
562,3509,1.0,Directed
562,3832,1.0,Directed
562,4429,1.0,Directed
562,7180,1.0,Directed
562,8663,1.0,Directed
563,3993,1.0,Directed
563,4429,1.0,Directed
563,7180,1.0,Directed
564,3373,1.0,Directed
565,5804,1.0,Directed
566,4429,1.0,Directed
567,27,1.0,Directed
568,3846,1.0,Directed
569,109,1.0,Directed
569,1816,1.0,Directed
569,3190,1.0,Directed
569,3993,1.0,Directed
569,4270,1.0,Directed
569,5405,1.0,Directed
569,9381,1.0,Directed
570,6252,1.0,Directed
571,4429,1.0,Directed
572,4429,1.0,Directed
573,3399,1.0,Directed
574,6998,1.0,Directed
575,27,1.0,Directed
575,1637,1.0,Directed
575,1816,1.0,Directed
575,2504,1.0,Directed
575,2702,1.0,Directed
575,3022,1.0,Directed
575,3071,1.0,Directed
575,3199,1.0,Directed
575,3373,1.0,Directed
575,3509,1.0,Directed
575,3555,1.0,Directed
575,4270,1.0,Directed
575,4429,1.0,Directed
575,6998,1.0,Directed
575,7180,1.0,Directed
575,7949,1.0,Directed
575,8505,1.0,Directed
575,8654,1.0,Directed
576,5130,1.0,Directed
577,203,1.0,Directed
577,3509,1.0,Directed
577,3832,1.0,Directed
577,5804,1.0,Directed
577,7305,1.0,Directed
580,7103,1.0,Directed
582,6998,1.0,Directed
583,6998,1.0,Directed
583,7949,1.0,Directed
586,7180,1.0,Directed
588,2179,1.0,Directed
588,3509,1.0,Directed
588,8654,1.0,Directed
589,3373,1.0,Directed
