Source,Target,Weight,Type
208,870,8.0,Directed
208,1419,15.0,Directed
208,1591,11.0,Directed
209,3627,6.0,Directed
210,509,3.0,Directed
213,186,3.0,Directed
213,870,8.0,Directed
213,1419,4.0,Directed
213,2434,3.0,Directed
213,2447,3.0,Directed
214,927,3.0,Directed
215,3265,6.0,Directed
216,467,6.0,Directed
216,2708,3.0,Directed
217,2657,4.0,Directed
218,1419,5.0,Directed
221,1086,3.0,Directed
222,2681,2.0,Directed
223,3113,12.0,Directed
224,59,4.0,Directed
224,3507,6.0,Directed
225,1419,4.0,Directed
225,3184,4.0,Directed
226,1086,3.0,Directed
228,1193,3.0,Directed
228,2571,36.0,Directed
228,2586,39.0,Directed
232,1419,7.0,Directed
233,2047,3.0,Directed
234,449,3.0,Directed
234,3445,3.0,Directed
236,1979,3.0,Directed
237,2822,6.0,Directed
238,2988,6.0,Directed
239,2571,3.0,Directed
240,3566,3.0,Directed
242,2571,10.0,Directed
242,2586,4.0,Directed
242,3265,4.0,Directed
245,1419,12.0,Directed
246,870,3.0,Directed
246,1419,7.0,Directed
246,2586,5.0,Directed
249,28,6.0,Directed
250,3222,3.0,Directed
256,1765,3.0,Directed
257,870,8.0,Directed
257,1419,4.0,Directed
258,737,3.0,Directed
259,870,20.0,Directed
259,1419,19.0,Directed
260,309,3.0,Directed
260,748,6.0,Directed
260,870,229.0,Directed
260,1419,312.0,Directed
260,1789,8.0,Directed
260,2571,1778.0,Directed
260,2586,109.0,Directed
260,2865,8.0,Directed
263,2586,3.0,Directed
267,2229,9.0,Directed
272,870,3.0,Directed
275,1591,6.0,Directed
275,2379,3.0,Directed
278,1419,12.0,Directed
279,1757,3.0,Directed
280,664,3.0,Directed
283,2932,2.0,Directed
284,2571,3.0,Directed
287,1925,3.0,Directed
289,784,2.0,Directed
292,1380,3.0,Directed
293,2478,3.0,Directed
294,748,12.0,Directed
294,870,8.0,Directed
294,1135,3.0,Directed
295,870,16.0,Directed
295,1419,13.0,Directed
295,1979,3.0,Directed
295,2073,3.0,Directed
295,2765,3.0,Directed
296,875,7.0,Directed
296,1193,3.0,Directed
296,1790,2.0,Directed
296,2571,12.0,Directed
296,2586,11.0,Directed
296,3382,3.0,Directed
297,351,10.0,Directed
297,1419,12.0,Directed
298,140,6.0,Directed
298,469,3.0,Directed
298,688,3.0,Directed
298,870,35.0,Directed
298,918,6.0,Directed
298,929,6.0,Directed
298,1346,3.0,Directed
298,1419,56.0,Directed
298,1544,4.0,Directed
298,1602,54.0,Directed
298,1719,15.0,Directed
298,2464,3.0,Directed
298,2571,12.0,Directed
298,3250,3.0,Directed
298,3617,3.0,Directed
299,2330,3.0,Directed
302,599,3.0,Directed
303,2468,6.0,Directed
303,2489,3.0,Directed
304,1419,11.0,Directed
304,1505,3.0,Directed
304,1905,9.0,Directed
304,2410,3.0,Directed
304,2586,10.0,Directed
305,1220,3.0,Directed
307,864,9.0,Directed
307,2571,9.0,Directed
309,260,2.0,Directed
309,1605,2.0,Directed
310,3136,3.0,Directed
311,2047,3.0,Directed
319,2983,6.0,Directed
320,373,6.0,Directed
321,1652,3.0,Directed
323,748,26.0,Directed
323,2571,22.0,Directed
325,2383,2.0,Directed
326,2775,6.0,Directed
327,2571,12.0,Directed
327,2681,4.0,Directed
328,870,8.0,Directed
328,1419,29.0,Directed
329,191,3.0,Directed
329,1419,12.0,Directed
330,2294,10.0,Directed
331,332,3.0,Directed
335,2529,3.0,Directed
