Source,Target,Weight,Type
3,1834,1.0,Directed
6,2668,1.0,Directed
6,2780,1.0,Directed
6,4857,1.0,Directed
6,10555,1.0,Directed
6,11897,1.0,Directed
14,16981,1.0,Directed
16,763,1.0,Directed
16,1478,1.0,Directed
19,2177,1.0,Directed
21,15676,1.0,Directed
22,933,1.0,Directed
23,10122,1.0,Directed
26,12243,1.0,Directed
27,17960,1.0,Directed
30,17673,1.0,Directed
32,961,1.0,Directed
32,1239,1.0,Directed
32,2226,1.0,Directed
32,3876,1.0,Directed
32,4009,1.0,Directed
32,9616,1.0,Directed
32,9856,1.0,Directed
32,12571,1.0,Directed
32,15303,1.0,Directed
32,17688,1.0,Directed
33,15185,1.0,Directed
34,7259,1.0,Directed
35,5239,1.0,Directed
38,15943,1.0,Directed
39,13844,1.0,Directed
41,3187,1.0,Directed
41,4343,1.0,Directed
41,5985,1.0,Directed
41,11767,1.0,Directed
41,12108,1.0,Directed
43,4915,1.0,Directed
48,4289,1.0,Directed
50,9789,1.0,Directed
51,11659,1.0,Directed
53,9442,1.0,Directed
54,5216,1.0,Directed
56,17642,1.0,Directed
58,10061,1.0,Directed
58,16057,1.0,Directed
61,12198,1.0,Directed
63,9980,1.0,Directed
65,1180,1.0,Directed
66,13476,1.0,Directed
69,15679,1.0,Directed
70,540,1.0,Directed
70,870,1.0,Directed
70,989,1.0,Directed
70,1239,1.0,Directed
70,1478,1.0,Directed
70,2153,1.0,Directed
70,3210,1.0,Directed
70,3266,1.0,Directed
70,3664,1.0,Directed
70,5164,1.0,Directed
70,6785,1.0,Directed
70,6819,1.0,Directed
70,8314,1.0,Directed
70,8380,1.0,Directed
70,10250,1.0,Directed
70,10573,1.0,Directed
70,11570,1.0,Directed
70,11985,1.0,Directed
70,13530,1.0,Directed
70,14850,1.0,Directed
70,15185,1.0,Directed
70,15340,1.0,Directed
70,17642,1.0,Directed
73,2964,1.0,Directed
75,15054,1.0,Directed
76,8506,1.0,Directed
78,15367,1.0,Directed
79,9436,1.0,Directed
81,3624,1.0,Directed
82,7614,1.0,Directed
87,12924,1.0,Directed
90,13296,1.0,Directed
92,15367,1.0,Directed
97,5985,1.0,Directed
98,1063,1.0,Directed
98,1281,1.0,Directed
98,2904,1.0,Directed
98,3585,1.0,Directed
98,4032,1.0,Directed
98,4461,1.0,Directed
98,7465,1.0,Directed
98,10943,1.0,Directed
98,13264,1.0,Directed
98,14492,1.0,Directed
98,14970,1.0,Directed
98,16215,1.0,Directed
98,16451,1.0,Directed
100,10212,1.0,Directed
