id,number,author,mergedBy,comments,reviews
PR_kwDOCqswNs5aXSlI,5441,{'login': 'renovate'},,[],[]
PR_kwDOCqswNs5aXXfH,5442,{'login': 'chipbuster'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5oxEHs', 'author': {'login': 'davidkna'}}]","[{'id': 'PRR_kwDOCqswNs5iPp5g', 'state': 'APPROVED', 'author': {'login': 'davidkna'}}]"
PR_kwDOCqswNs5aYDnn,5443,{'login': 'chipbuster'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5n1I5O', 'author': {'login': 'davidkna'}}]","[{'id': 'PRR_kwDOCqswNs5hKOS1', 'state': 'APPROVED', 'author': {'login': 'davidkna'}}, {'id': 'PRR_kwDOCqswNs5hKXNF', 'state': 'APPROVED', 'author': {'login': 'davidkna'}}]"
PR_kwDOCqswNs5aarQ5,5444,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5mktRU', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5aeRy3,5445,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5moOrT', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5ahKQ5,5447,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5mrOlO', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5ahygW,5448,{'login': 'eatradish'},,"[{'id': 'IC_kwDOCqswNs6QUG8I', 'author': {'login': 'MingcongBai'}}]",[]
PR_kwDOCqswNs5akGHF,5449,{'login': 'rbelem'},,"[{'id': 'IC_kwDOCqswNs5sd2uG', 'author': {'login': 'davidkna'}}]",[]
PR_kwDOCqswNs5am7xt,5452,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5mxrrL', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5ancFL,5453,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5mygX-', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5auLEX,5454,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5m6g3f', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5azb8K,5455,{'login': 'renovate'},{'login': 'davidkna'},[],[]
PR_kwDOCqswNs5a0Wxd,5456,{'login': 'renovate'},,"[{'id': 'IC_kwDOCqswNs5nBGMz', 'author': {'login': 'renovate'}}]",[]
